Open,High,Low,Close,Volume,Date
13.06,13.1,13,13,2526800,2013-01-24
13.06,13.06,12.98,13,2923500,2013-01-25
13,13.06,12.94,12.96,4140800,2013-01-28
12.96,13.02,12.96,12.98,10777800,2013-01-29
13,13.16,12.98,13,10059300,2013-01-30
13.02,13.12,13.02,13.04,3978900,2013-01-31
13.08,14.04,13.08,13.76,18785100,2013-02-01
14.08,14.3,14.08,14.22,19185800,2013-02-04
14.14,14.16,14,14.1,9924300,2013-02-05
14.2,14.44,13.96,13.96,13636500,2013-02-06
14.08,14.16,13.86,14.14,14461900,2013-02-07
14.2,14.44,14.1,14.14,5847500,2013-02-08
14.18,14.4,14.1,14.14,6653300,2013-02-11
14.14,14.2,14,14.06,4427900,2013-02-12
14.06,14.06,13.98,14.02,6105400,2013-02-13
14.02,14.1,14,14.02,4127200,2013-02-14
14.04,14.16,14,14.06,4900200,2013-02-15
14.3,14.36,14.12,14.16,11284700,2013-02-18
14.36,14.36,14,14.08,13807100,2013-02-19
14.18,14.2,13.96,14,5671700,2013-02-20
14.16,14.16,13.94,13.94,7091000,2013-02-21
14,14,13.74,13.76,8129700,2013-02-22
13.9,14,13.76,13.9,3465100,2013-02-25
13.9,14.1,13.84,13.9,18598500,2013-02-26
14,14.56,13.92,14.4,15723100,2013-02-27
14.56,15.08,14.42,14.78,47981000,2013-02-28
14.88,15.46,14.76,15.4,41735500,2013-03-01
15.5,16.62,15.5,16.58,65250000,2013-03-04
16.8,16.88,15.7,15.96,45159600,2013-03-05
16.18,16.24,16.02,16.02,23259800,2013-03-06
16.04,16.04,15.38,15.4,17436900,2013-03-07
15.5,15.7,15.3,15.3,17323800,2013-03-08
15.4,15.76,15.4,15.6,41510200,2013-03-11
15.6,15.6,14.92,14.96,23074200,2013-03-12
14.9,15.2,14.5,15.06,38256800,2013-03-13
15.08,15.26,14.72,14.74,21615500,2013-03-14
14.88,15.1,14,14,29185100,2013-03-15
14.22,14.58,13.3,13.66,18371800,2013-03-18
13.7,13.76,13.1,13.4,20647600,2013-03-19
13.4,13.4,12.58,13,23699200,2013-03-20
13.02,13.2,13.02,13.1,10435600,2013-03-21
13.14,13.84,13.14,13.6,16141800,2013-03-22
13.62,14.1,13.62,14.1,7561300,2013-03-25
14.2,14.2,13.92,14,4727300,2013-03-26
14.18,14.32,13.98,14.24,13102100,2013-03-27
14.46,14.58,13.86,13.86,16860400,2013-04-01
13.76,14.1,13.6,13.92,6166500,2013-04-02
13.92,14.2,13.92,13.98,6164000,2013-04-03
13.98,14.2,13.88,13.88,7729100,2013-04-04
13.88,13.98,13.7,13.7,5241400,2013-04-05
13.72,14,13.72,13.9,7682000,2013-04-08
13.9,14.1,13.88,13.88,6726700,2013-04-10
13.88,14.1,13.88,13.9,9795100,2013-04-11
13.9,13.92,13.78,13.92,4874500,2013-04-12
13.92,13.92,13.68,13.72,3689800,2013-04-15
13.68,13.68,13.48,13.48,2799100,2013-04-16
13.48,13.86,13.48,13.7,7282300,2013-04-17
13.8,13.8,13.4,13.4,5727700,2013-04-18
13.38,13.38,12.8,12.98,17855900,2013-04-19
12.98,12.98,12.52,12.66,10562700,2013-04-22
12.78,12.78,11.98,12.14,30810400,2013-04-23
12.18,12.22,11.5,11.72,19535800,2013-04-24
11.72,12.42,11.36,12.18,18428200,2013-04-25
12.22,12.84,12.22,12.7,9424300,2013-04-26
12.68,12.8,12,12.02,7737900,2013-04-29
12.04,12.2,11.98,12,10545300,2013-04-30
11.96,12.72,11.96,12.4,10509600,2013-05-02
12.44,12.7,12.1,12.1,10403500,2013-05-03
12.16,12.18,11.94,11.94,4647100,2013-05-06
11.98,12.1,11.96,12,4880700,2013-05-07
12,12.1,11.92,11.92,1388100,2013-05-08
11.92,12.08,11.92,12.02,2982700,2013-05-09
12.02,12.36,12,12.2,5376600,2013-05-10
12.14,12.72,12.02,12.54,109652200,2013-05-14
12.6,12.88,12.52,12.52,10757400,2013-05-15
12.62,12.8,12.3,12.74,6369600,2013-05-16
12.7,13.1,12.54,12.8,5199000,2013-05-17
13,13.1,12.86,12.9,5480500,2013-05-20
12.9,13,12.78,12.82,2418000,2013-05-21
12.84,13,12.82,13,5562200,2013-05-22
13,13,12.4,12.8,4646000,2013-05-23
12.8,13.08,12.64,13.06,7702400,2013-05-24
13.04,13.04,12.32,12.36,3792600,2013-05-27
12.38,12.5,12.34,12.5,5747100,2013-05-28
12.6,12.7,12.48,12.7,6158000,2013-05-29
